race_id,escape_strength,inner_collapse_risk,attack_pressure,race_upset_score,probability_flatness,dynamic_rerank_subset,scenario,result_scenario,winner_course,winner_style,lane1_status,top3_shape,is_outer_chain,is_inner_dominant
2026-07-11_11_03,0.3006146621595944,0.5035249957154355,0.3473320218138751,0.44843548858352744,0.9402863333721824,upset_or_flat,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__MIXED,1,ESCAPE,IN_WIN,MIXED,False,False
2026-07-11_11_04,0.3018098223692794,0.5043877443539431,0.36597034431639813,0.4556968274261832,0.8981128909886494,stable_escape,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__OUTER_CHAIN,1,ESCAPE,IN_WIN,OUTER_CHAIN,True,False
2026-07-11_11_05,0.2870716377050831,0.5171769504534625,0.3699461945305126,0.46982238614816385,0.9110210947543649,neutral,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__CENTER_OUTER,1,ESCAPE,IN_WIN,CENTER_OUTER,False,False
2026-07-11_11_06,0.23935550498857283,0.5341815144911553,0.359979286972386,0.46820692714721385,0.9256142977970969,neutral,S3_C3_WIN_CENTER,C3__MAKURI_SASHI__IN_REMAIN__CENTER_OUTER,3,MAKURI_SASHI,IN_REMAIN,CENTER_OUTER,False,False
2026-07-11_11_07,0.2699363097375583,0.5142281804482531,0.33459689405377707,0.4584065300364999,0.911214715787679,neutral,S3_C3_WIN_CENTER,C3__MAKURI_SASHI__IN_REMAIN__CENTER_OUTER,3,MAKURI_SASHI,IN_REMAIN,CENTER_OUTER,False,False
2026-07-11_11_08,0.1966219614528874,0.5691937974704961,0.4051807788493324,0.48160207894504603,0.9436296472373369,attack_or_collapse,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__CENTER_OUTER,1,ESCAPE,IN_WIN,CENTER_OUTER,False,False
2026-07-11_11_09,0.31636962649535644,0.48203220771243005,0.3029954535569296,0.426526333383944,0.9040235459556516,stable_escape,S1_C2_SASHI_IN_REMAIN,C2__SASHI__IN_REMAIN__INNER_CENTER,2,SASHI,IN_REMAIN,INNER_CENTER,False,False
2026-07-11_11_10,0.2527464429037918,0.5236565057658769,0.3502287103150622,0.45918416977851084,0.9060340983654404,neutral,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__MIXED,1,ESCAPE,IN_WIN,MIXED,False,False
2026-07-11_11_11,0.28813416420094706,0.4966994930682249,0.3370078583101917,0.4439993088648506,0.9138009726390761,neutral,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__OUTER_CHAIN,1,ESCAPE,IN_WIN,OUTER_CHAIN,True,False
2026-07-11_11_12,0.32861413262580114,0.49265623063335545,0.35975759672513186,0.441613635588626,0.893160761497649,stable_escape,S0_C1_ESCAPE_IN_WIN,C1__ESCAPE__IN_WIN__INNER_CENTER,1,ESCAPE,IN_WIN,INNER_CENTER,False,False
