race_date,venue_code,race_no,race_id,trifecta,probability,actual_trifecta,trifecta_payout,hit,stake_amount,return_amount
2026-06-28,10,8,2026-06-28_10_08,2-4-1,0.41275172295928464,2-4-1,9220.0,True,100.0,9220.0
2026-06-28,10,9,2026-06-28_10_09,1-3-6,0.43850271961653225,1-3-6,2990.0,True,100.0,2990.0
2026-06-28,10,10,2026-06-28_10_10,3-2-4,0.41275172295928464,3-2-4,7950.0,True,100.0,7950.0
2026-06-28,10,11,2026-06-28_10_11,2-1-3,0.41275172295928464,2-1-3,1430.0,True,100.0,1430.0
2026-06-28,10,12,2026-06-28_10_12,1-2-6,0.43850271961653225,1-5-2,1470.0,False,100.0,0.0
2026-06-28,12,1,2026-06-28_12_01,3-1-2,0.5595365616665355,3-2-1,3410.0,False,100.0,0.0
2026-06-28,12,2,2026-06-28_12_02,1-2-5,0.44165235066786596,4-1-5,3450.0,False,100.0,0.0
2026-06-28,12,3,2026-06-28_12_03,2-3-1,0.4158533777842374,2-3-1,3150.0,True,100.0,3150.0
2026-06-28,12,4,2026-06-28_12_04,5-1-4,0.4385027196165322,1-5-4,1090.0,False,100.0,0.0
2026-06-28,12,5,2026-06-28_12_05,2-6-1,0.43850271961653225,1-2-6,700.0,False,100.0,0.0
2026-06-28,12,6,2026-06-28_12_06,4-3-1,0.4481104905600689,1-5-4,1110.0,False,100.0,0.0
2026-06-28,12,7,2026-06-28_12_07,1-3-6,0.44165235066786596,1-4-6,1100.0,False,100.0,0.0
2026-06-28,12,8,2026-06-28_12_08,1-3-6,0.41275172295928464,1-3-6,2740.0,True,100.0,2740.0
2026-06-28,12,9,2026-06-28_12_09,6-3-4,0.4222195421183313,6-3-4,501250.0,True,100.0,501250.0
2026-06-28,12,10,2026-06-28_12_10,1-3-5,0.5595365616665355,1-3-2,490.0,False,100.0,0.0
2026-06-28,12,11,2026-06-28_12_11,1-3-5,0.42221954211833135,1-3-5,3090.0,True,100.0,3090.0
2026-06-28,12,12,2026-06-28_12_12,1-4-5,0.42221954211833135,1-4-5,4000.0,True,100.0,4000.0
2026-06-28,13,1,2026-06-28_13_01,3-6-2,0.4481104905600689,1-3-6,900.0,False,100.0,0.0
2026-06-28,13,2,2026-06-28_13_02,1-3-6,0.4158533777842374,1-3-6,1120.0,True,100.0,1120.0
2026-06-28,13,3,2026-06-28_13_03,2-1-3,0.5595365616665355,2-1-3,2180.0,True,100.0,2180.0
